Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,PARK,Sunday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,BAYVIEW,"ARREST, BOOKED",3RD ST / 23RD ST,-122.3880041,37.75538983,BAYVIEW,Monday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,MISSION,"ARREST, BOOKED",SOUTH VAN NESS AV / 14TH ST,-122.4178034,37.76840431,MISSION,Tuesday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,MISSION,"ARREST, BOOKED",CAPP ST / 16TH ST,-122.418701,37.76510988,RICHMOND,Wednesday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,RICHMOND,"ARREST, BOOKED",2600 Block of SACRAMENTO ST,-122.4365226,37.7895777,CENTRAL,Thursday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,MISSION,"ARREST, BOOKED",2900 Block of 16TH ST,-122.419213,37.76513397,SOUTHERN,Friday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,BAYVIEW,NONE,0 Block of NICHOLS WY,-122.3872348,37.71940083,NORTHERN,Saturday
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Saturday,CENTRAL,"ARREST, BOOKED",400 Block of BROADWAY ST,-122.4050655,37.79801347,TENDERLOIN,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,SOUTHERN,NONE,3RD ST / BRYANT ST,-122.3958483,37.78132105,INGLESIDE,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,NORTHERN,"ARREST, BOOKED",900 Block of LARKIN ST,-122.4180651,37.78634192,TARAVAL,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,SOUTHERN,"ARREST, BOOKED",1500 Block of MISSION ST,-122.4175234,37.77386703,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,NORTHERN,"ARREST, BOOKED",2500 Block of LOMBARD ST,-122.4435204,37.79899931,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.4109284,37.78367787,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,CENTRAL,"ARREST, BOOKED",700 Block of KEARNY ST,-122.4049044,37.79464788,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,CENTRAL,"ARREST, BOOKED",100 Block of JEFFERSON ST,-122.41501,37.80836982,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,SOUTHERN,NONE,1000 Block of MARKET ST,-122.4110714,37.78175113,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,INGLESIDE,"ARREST, BOOKED",MISSION ST / 30TH ST,-122.4219709,37.74237522,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,MISSION,"ARREST, BOOKED",0 Block of WOODWARD ST,-122.4207871,37.76905952,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154488,37.77829352,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Monday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.4090112,37.78113406,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Saturday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.4136313,37.78480537,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Monday,BAYVIEW,"ARREST, BOOKED",0 Block of SANTAFE AV,-122.4008502,37.73408394,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,RICHMOND,"ARREST, BOOKED",6100 Block of CALIFORNIA ST,-122.4834173,37.78400944,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,CENTRAL,"ARREST, BOOKED",900 Block of HYDE ST,-122.4170443,37.78959528,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,BAYVIEW,"ARREST, BOOKED",3RD ST / 20TH ST,-122.3885594,37.76049292,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.4098537,37.78338624,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,TENDERLOIN,"ARREST, CITED",500 Block of JONES ST,-122.4129991,37.78627746,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,RICHMOND,"ARREST, BOOKED",JOHNFKENNEDY DR / 30TH AV,-122.4898047,37.77089178,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,TARAVAL,"ARREST, BOOKED",100 Block of APTOS AV,-122.466758,37.72918458,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,PARK,"ARREST, BOOKED",1800 Block of PAGE ST,-122.4512364,37.7703598,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,NORTHERN,"ARREST, BOOKED",1100 Block of FILLMORE ST,-122.4321162,37.78003044,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Monday,INGLESIDE,"ARREST, BOOKED",MISSION ST / ONONDAGA AV,-122.4374615,37.72116508,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Monday,MISSION,"ARREST, BOOKED",1200 Block of GUERRERO ST,-122.4226841,37.7511638,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,BAYVIEW,"ARREST, BOOKED",1400 Block of PALOU AV,-122.3880785,37.73244304,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,BAYVIEW,"ARREST, BOOKED",0 Block of OSCEOLA LN,-122.3830851,37.73175234,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,CENTRAL,"ARREST, BOOKED",500 Block of STOCKTON ST,-122.4072335,37.79052236,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Friday,CENTRAL,"ARREST, BOOKED",UNION ST / MASON ST,-122.4124755,37.80003086,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Wednesday,BAYVIEW,"ARREST, CITED",600 Block of JAMESTOWN AV,-122.3878337,37.71310723,,
ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Tuesday,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / GOLDEN GATE AV,-122.4138696,37.78186219,,
